,split
0,val
1,val
2,train
3,train
4,val
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,test
13,train
14,train
15,train
16,test
17,train
18,val
19,test
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,test
28,test
29,train
30,train
31,train
32,val
33,train
34,train
35,train
36,train
37,train
38,val
39,train
40,train
41,train
42,train
43,test
44,train
45,train
46,train
47,train
48,val
49,train
50,train
51,train
52,train
53,train
54,val
55,train
56,train
57,train
58,train
59,val
60,test
61,train
62,train
63,train
64,train
65,train
66,val
67,train
68,test
69,train
70,val
71,train
72,train
73,train
74,test
75,val
76,test
77,train
78,val
79,train
80,val
81,val
82,train
83,val
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,test
92,train
93,train
94,test
95,train
96,train
97,val
98,test
99,train
100,train
101,val
102,val
103,val
104,train
105,train
106,train
107,train
108,train
109,val
110,val
111,val
112,val
113,train
114,test
115,train
116,test
117,train
118,train
119,val
120,val
121,train
122,train
123,val
124,train
125,train
126,test
127,train
128,train
129,val
130,train
131,test
132,train
133,val
134,train
135,train
136,train
137,train
138,train
139,val
140,train
141,train
142,test
143,train
144,val
145,train
146,train
147,train
148,train
149,val
150,test
151,train
152,val
153,train
154,train
155,train
156,test
157,train
158,train
159,train
160,test
161,train
162,train
163,train
164,train
165,train
166,val
167,train
168,train
169,train
170,train
171,train
172,train
173,val
174,train
175,train
176,train
177,val
178,train
179,train
180,train
181,train
182,train
183,val
184,test
185,train
186,train
187,val
188,val
189,train
190,train
191,train
192,train
193,test
194,train
195,train
196,train
197,train
198,train
199,train
200,test
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,val
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,val
219,test
220,test
221,train
222,test
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,test
235,train
236,test
237,train
238,train
239,train
240,train
241,val
242,train
243,test
244,train
245,val
246,train
247,train
248,val
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,val
257,train
258,val
259,train
260,test
261,val
262,train
263,train
264,train
265,train
266,val
267,train
268,train
269,train
270,val
271,val
272,val
273,train
274,train
275,val
276,train
277,train
278,train
279,test
280,train
281,train
282,train
283,train
284,train
285,train
286,test
287,test
288,train
289,train
290,train
291,train
292,val
293,train
294,val
295,train
296,train
297,train
298,train
299,train
300,train
301,test
302,train
303,train
304,train
305,train
306,train
307,train
308,val
309,train
310,train
311,train
312,train
313,train
314,train
315,train
316,val
317,train
318,train
319,val
320,train
321,train
322,test
323,val
324,train
325,test
326,train
327,test
328,val
329,train
330,val
331,val
332,val
333,train
334,test
335,test
336,train
337,train
338,val
339,train
340,train
341,train
342,train
343,train
344,val
345,train
346,test
347,train
348,train
349,test
350,train
351,train
352,val
353,train
354,test
355,val
356,train
357,test
358,train
359,val
360,train
361,train
362,train
363,train
364,train
365,train
366,test
367,train
368,train
369,val
370,test
371,train
372,val
373,train
374,train
375,train
376,val
377,train
378,test
379,train
380,val
381,test
382,train
383,train
384,train
385,train
386,train
387,val
388,train
389,train
390,val
391,train
392,train
393,val
394,train
395,val
396,test
397,val
398,test
399,test
400,train
401,val
402,train
403,train
404,train
405,train
406,test
407,train
408,train
409,train
410,train
411,train
412,test
413,train
414,train
415,test
416,test
417,train
418,train
419,train
420,train
421,train
422,val
423,train
424,test
425,train
426,val
427,train
428,train
429,train
430,train
431,train
432,val
433,train
434,val
435,test
436,train
437,train
438,train
439,val
440,train
441,train
442,val
443,train
444,test
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,test
453,train
454,train
455,train
456,val
457,train
458,val
459,train
460,train
461,train
462,train
463,train
464,train
465,train
466,train
467,test
468,train
469,val
470,train
471,test
472,val
473,val
474,train
475,train
476,train
477,train
478,train
479,train
480,test
481,test
482,val
483,train
484,train
485,test
486,train
487,train
488,test
489,train
490,train
491,train
492,train
493,train
494,test
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,train
506,train
507,train
508,train
509,val
510,train
511,train
512,train
513,val
514,val
515,train
516,test
517,train
518,val
519,test
520,test
521,train
522,val
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,test
536,train
537,train
538,train
539,test
540,val
541,train
542,val
543,train
544,val
545,train
546,train
547,val
548,test
549,train
550,val
551,train
552,val
553,train
554,val
555,train
556,train
557,val
558,train
559,train
560,train
561,train
562,train
563,test
564,train
565,test
566,train
567,test
568,train
569,train
570,val
571,test
572,train
573,test
574,train
575,train
576,train
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,val
586,test
587,train
588,test
589,test
590,train
591,train
592,test
593,train
594,train
595,val
596,train
597,test
598,val
599,train
600,train
601,train
602,train
603,test
604,train
605,test
606,train
607,test
608,val
609,train
610,train
611,train
612,train
613,train
614,test
615,val
616,train
617,train
618,train
619,train
620,train
621,train
622,val
623,val
624,val
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,val
633,train
634,val
635,train
636,train
637,train
638,train
639,val
640,val
641,train
642,train
643,train
644,train
645,train
646,train
647,train
648,train
649,val
650,train
651,train
652,train
653,train
654,train
655,test
656,train
657,train
658,val
659,train
660,train
661,train
662,train
663,train
664,val
665,test
666,train
667,train
668,train
669,val
670,train
671,train
672,train
673,train
674,train
675,train
676,train
677,test
678,train
679,val
680,train
681,train
682,train
683,val
684,train
685,train
686,test
687,train
688,train
689,train
690,train
691,test
692,train
693,train
694,train
695,train
696,train
697,train
698,train
699,val
700,test
701,train
702,test
703,train
704,train
705,train
706,train
707,val
708,test
709,train
710,train
711,val
712,val
713,val
714,train
715,train
716,val
717,val
718,val
719,train
720,train
721,train
722,val
723,test
724,train
725,val
726,train
727,val
728,train
729,val
730,train
731,train
732,val
733,train
734,train
735,test
736,train
737,train
738,train
739,test
740,train
741,train
742,train
743,val
744,train
745,train
746,val
747,train
748,test
749,train
750,train
751,train
752,train
753,train
754,train
755,train
756,train
757,train
758,train
759,train
760,val
761,test
762,train
763,test
764,train
765,val
766,train
767,test
768,train
769,train
770,train
771,train
772,val
773,train
774,train
775,train
776,train
777,train
778,val
779,train
780,train
781,train
782,train
783,train
784,test
785,val
786,train
787,val
788,val
789,train
790,train
791,train
792,test
793,train
794,train
795,train
796,test
797,test
798,train
799,train
800,train
801,val
802,train
803,train
804,train
805,val
806,train
807,val
808,train
809,test
